nombre,precio,categoria,descripcion,precio_oferta,stock,marca,activo,destacado,variante_talla,variante_color,variante_material,variante_estilo,variante_imagen
Pantalón Ponte,62.00,Pantalones,Pantalón ponte elegante,52.00,60,Zara,si,no,"30,32,34,36","Negro,Gris,Navy",,,color
Pantalón Hybrid,58.00,Pantalones,Pantalón híbrido,50.00,70,Under Armour,si,no,"S,M,L,XL",,"Hybrid,Storm,ColdGear",,material
Pantalón Paperboy,55.00,Pantalones,Pantalón estilo paperboy,48.00,55,H&M,si,no,"28,30,32",,,"Paperboy,High Rise,Regular",estilo
Pantalón Mom Jean,68.00,Pantalones,Jean estilo mom,58.00,65,Levi's,si,no,"26,28,30,32",,,"Mom,Boyfriend,Baggy",estilo
Pantalón Skinny,65.00,Pantalones,Jean skinny,55.00,70,Levi's,si,no,"28,30,32,34",,"Stretch,Rigid,Comfort",,material
Pantalón Relaxed,68.00,Pantalones,Pantalón relajado,58.00,60,Carhartt,si,no,"30,32,34,36","Negro,Caqui,Marrón",,,color
Pantalón Pleated,75.00,Pantalones,Pantalón plisado,65.00,45,Zara,si,no,"30,32,34",,,"Pleated,Flat Front,Cuffed",estilo
Pantalón Motion,58.00,Pantalones,Pantalón motion,50.00,70,Under Armour,si,no,"S,M,L,XL","Negro,Gris,Azul",,,color
Gorra Running,28.00,Accesorios,Gorra para correr,24.00,100,Nike,si,no,,,"Dry-Fit,AeroBill,Tech",,material
Gorra Tennis,26.00,Accesorios,Gorra para tenis,22.00,90,Adidas,si,no,,"Blanco,Negro,Azul",,,color
Gorra Golf,32.00,Accesorios,Gorra para golf,28.00,70,Nike,si,no,,,"Performance,Classic,Tour",,material
Gorra Outdoor,30.00,Accesorios,Gorra outdoor,25.00,80,The North Face,si,no,,"Negro,Verde,Gris",,,color
Gorra Logo Mini,24.00,Accesorios,Gorra logo pequeño,20.00,110,Champion,si,no,,"Negro,Blanco,Navy",,,color
Mochila Gym,42.00,Mochilas,Mochila para gym,36.00,85,Under Armour,si,no,,"Negro,Gris,Rojo",,,color
Mochila Weekender,75.00,Mochilas,Mochila fin de semana,65.00,50,Herschel,si,no,,,"Nylon,Cordura,Recycled",,material
Mochila Tech,68.00,Mochilas,Mochila tecnológica,58.00,60,Nike,si,no,,"Negro,Gris,Olive",,,color
Mochila Canvas,55.00,Mochilas,Mochila de lona,48.00,70,Fjällräven,si,no,,,"Canvas,G-1000,Vinylon",,material
Mochila Compact,38.00,Mochilas,Mochila compacta,32.00,90,Adidas,si,no,,"Negro,Navy,Rojo",,,color
Polo Ultra Soft,52.00,Polos,Polo ultra suave,45.00,85,Uniqlo,si,no,"S,M,L,XL",,"Supima,Pima,Egyptian",,material
Polo Cool Max,58.00,Polos,Polo tecnología CoolMax,50.00,70,Nike,si,no,"S,M,L,XL","Negro,Azul,Blanco",,,color
Polo Textured,55.00,Polos,Polo texturizado,48.00,75,Zara,si,no,"S,M,L",,"Textured,Pique,Knit",,material
Polo Button Down,62.00,Polos,Polo cuello button down,54.00,60,Ralph Lauren,si,si,"M,L,XL","Blanco,Celeste,Rosa",,,color
Polo Terry,48.00,Polos,Polo tela terry,42.00,80,H&M,si,no,"S,M,L,XL",,"Terry,Towel,French Terry",,material
Polo Waffle,45.00,Polos,Polo textura waffle,38.00,90,Gap,si,no,"S,M,L",,"Waffle,Thermal,Rib",,material
Polo Ribbed,50.00,Polos,Polo acanalado,43.00,75,Zara,si,no,"S,M,L","Negro,Blanco,Beige",,,color
Polo Block,48.00,Polos,Polo diseño block,42.00,80,Adidas,si,no,"S,M,L,XL","Negro/Blanco,Azul/Blanco",,,color
Polo Jacquard,58.00,Polos,Polo jacquard,50.00,65,Tommy Hilfiger,si,no,"M,L,XL",,"Jacquard,Pique,Jersey",,material
Polo Tipped,52.00,Polos,Polo con ribetes,45.00,70,Fred Perry,si,si,"S,M,L","Negro,Blanco,Navy",,,color
Zapatilla Lite Racer,85.00,Zapatillas,Zapatilla Lite Racer ligera,75.00,70,Adidas,si,no,"38,40,42,44","Negro,Blanco,Azul",,,color
Zapatilla Roshe,95.00,Zapatillas,Zapatilla Roshe minimal,85.00,60,Nike,si,no,"39,41,43",,"Foam,Flyknit,Mesh",,material
Zapatilla Sk8-Hi,95.00,Zapatillas,Zapatilla Sk8-Hi alta,85.00,65,Vans,si,si,"38,40,42,44","Negro,Blanco,Navy",,,color
Zapatilla Classic Leather,100.00,Zapatillas,Zapatilla Classic Leather,90.00,55,Reebok,si,no,"38,40,42",,"Leather,Nubuck,Synthetic",,material
Zapatilla Cali,90.00,Zapatillas,Zapatilla Cali plataforma,80.00,60,Puma,si,no,"36,38,40","Blanco,Negro,Rosa",,,color
Zapatilla Cortez,95.00,Zapatillas,Zapatilla Cortez retro,85.00,50,Nike,si,si,"38,40,42,44",,"Leather,Nylon,Premium",,material
Zapatilla Samba,105.00,Zapatillas,Zapatilla Samba clásica,95.00,55,Adidas,si,si,"38,40,42","Negro,Blanco,Verde",,,color
Zapatilla Slip-On,70.00,Zapatillas,Zapatilla Slip-On fácil,62.00,75,Vans,si,no,"38,40,42,44","Negro,Checkerboard,Blanco",,,color
Zapatilla Classic,80.00,Zapatillas,Zapatilla Classic versátil,72.00,65,Reebok,si,no,"39,41,43","Blanco,Negro,Navy",,,color
Zapatilla Cell,115.00,Zapatillas,Zapatilla Cell tech,105.00,45,Puma,si,no,"40,42,44",,"Cell,RS,Nitro",,material
Sudadera Badge,68.00,Sudaderas,Sudadera con badge,58.00,75,Adidas,si,no,"S,M,L,XL","Negro,Gris,Verde",,,color
Sudadera Script,70.00,Sudaderas,Sudadera logo script,60.00,70,Champion,si,no,"M,L,XL",,,"Script,Block,Small Logo",estilo
Sudadera Box Logo,78.00,Sudaderas,Sudadera box logo,68.00,60,Carhartt,si,si,"M,L,XL","Negro,Gris,Marrón",,,color
Sudadera Essentials,65.00,Sudaderas,Sudadera esenciales,55.00,85,Fear of God,si,no,"S,M,L,XL",,"Heavyweight,Standard,Washed",,material
Sudadera Embossed,75.00,Sudaderas,Sudadera logo en relieve,65.00,65,Nike,si,no,"S,M,L,XL",,,"Embossed,Print,Embroidered",estilo
Sudadera Gradient,72.00,Sudaderas,Sudadera degradado,62.00,55,H&M,si,no,"S,M,L","Negro/Gris,Azul/Negro",,,color
Sudadera Patch,68.00,Sudaderas,Sudadera con parche,58.00,70,Vans,si,no,"S,M,L,XL","Negro,Gris,Rojo",,,color
Sudadera Distressed,75.00,Sudaderas,Sudadera efecto desgastado,65.00,50,Urban Outfitters,si,no,"S,M,L",,"Distressed,Vintage,New",,material
Sudadera Reflective,82.00,Sudaderas,Sudadera con reflejante,72.00,45,Nike,si,no,"S,M,L,XL","Negro,Gris,Navy",,,color
Short Core,35.00,Shorts,Short core básico,30.00,100,Nike,si,no,"S,M,L,XL","Negro,Gris,Navy",,,color
Short Icon,38.00,Shorts,Short icónico,33.00,95,Adidas,si,no,"S,M,L,XL","Negro,Azul,Rojo",,,color
Short Dry,40.00,Shorts,Short tecnología dry,35.00,90,Under Armour,si,no,"S,M,L",,"Dry-Fit,HeatGear,Stretch",,material
Short Woven,36.00,Shorts,Short tejido,31.00,100,Puma,si,no,"S,M,L,XL","Negro,Blanco,Navy",,,color
Short Colorblock,42.00,Shorts,Short colorblock,36.00,80,Champion,si,no,"M,L,XL","Negro/Rojo,Gris/Navy",,,color
Short Retro,38.00,Shorts,Short estilo retro,32.00,85,Nike,si,no,"S,M,L",,,"Retro,Modern,Classic",estilo
Short Elevated,45.00,Shorts,Short elevado,38.00,70,Lululemon,si,no,"S,M,L,XL",,"Luon,Nulu,Swift",,material
Short Pace,40.00,Shorts,Short pace running,35.00,75,Nike,si,no,"S,M,L","Negro,Rojo,Azul",,,color
Short Recovery,35.00,Shorts,Short recuperación,30.00,90,Under Armour,si,no,"S,M,L,XL","Negro,Gris,Azul",,,color
Short Baseline,38.00,Shorts,Short baseline,33.00,85,Adidas,si,no,"S,M,L,XL","Negro,Blanco,Navy",,,color
Camiseta Icon,35.00,Camisetas,Camiseta icónica,30.00,120,Nike,si,si,"S,M,L,XL","Negro,Blanco,Gris",,,color
Camiseta Badge,32.00,Camisetas,Camiseta con badge,27.00,110,Adidas,si,no,"S,M,L,XL","Negro,Blanco,Azul",,,color
Camiseta Emblem,35.00,Camisetas,Camiseta emblema,30.00,100,Champion,si,no,"M,L,XL",,"Jersey,Cotton,Blend",,material
Camiseta Core,28.00,Camisetas,Camiseta core básica,24.00,130,Uniqlo,si,no,"S,M,L,XL","Negro,Blanco,Gris",,,color
Camiseta Tech Pack,42.00,Camisetas,Camiseta tech pack,36.00,80,Nike,si,no,"S,M,L,XL",,"Tech,Standard,Premium",,material
Camiseta Statement,35.00,Camisetas,Camiseta statement,30.00,90,Zara,si,no,"S,M,L","Negro,Blanco,Rojo",,,color
Camiseta Clean,30.00,Camisetas,Camiseta limpia,25.00,110,H&M,si,no,"S,M,L,XL",,,"Clean,Logo,Graphic",estilo
Camiseta Text,32.00,Camisetas,Camiseta con texto,27.00,100,Vans,si,no,"S,M,L","Negro,Blanco,Rojo",,,color
Camiseta Split,35.00,Camisetas,Camiseta split,30.00,85,Urban Outfitters,si,no,"S,M,L","Negro/Blanco,Gris/Negro",,,color
Camiseta Pigment,38.00,Camisetas,Camiseta pigmento,33.00,75,Carhartt,si,no,"M,L,XL",,"Pigment Dyed,Garment Dyed,Standard",,material
Pantalón Core,52.00,Pantalones,Pantalón core básico,45.00,90,Nike,si,no,"S,M,L,XL","Negro,Gris,Navy",,,color
Pantalón Icon,58.00,Pantalones,Pantalón icónico,50.00,80,Adidas,si,no,"S,M,L,XL","Negro,Azul,Verde",,,color
Pantalón Statement,62.00,Pantalones,Pantalón statement,52.00,70,Zara,si,no,"30,32,34,36","Negro,Beige,Gris",,,color
Pantalón Tech Pack,75.00,Pantalones,Pantalón tech pack,65.00,55,Nike,si,si,"S,M,L,XL",,"Tech Fleece,Woven,Knit",,material
Pantalón Street,58.00,Pantalones,Pantalón street,50.00,75,Carhartt,si,no,"30,32,34",,"Duck,Canvas,Twill",,material
Pantalón Modern,65.00,Pantalones,Pantalón moderno,55.00,65,H&M,si,no,"30,32,34,36","Negro,Gris,Navy",,,color
Pantalón Clean,55.00,Pantalones,Pantalón limpio,48.00,80,Uniqlo,si,no,"30,32,34",,,"Tapered,Straight,Slim",estilo
Pantalón Elevated,72.00,Pantalones,Pantalón elevado,62.00,50,Lululemon,si,no,"S,M,L,XL",,"ABC,Commission,Utilitech",,material
Pantalón Flow,55.00,Pantalones,Pantalón flow,48.00,75,Puma,si,no,"S,M,L,XL","Negro,Blanco,Navy",,,color
Pantalón Work,65.00,Pantalones,Pantalón de trabajo,55.00,60,Dickies,si,no,"30,32,34,36",,"Work,874,Flex",,material
